country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Dausa,"Khatikan Mohalla, Dausa - RSPCB",16-06-2026 12:00,26.895552,76.334753,NH3,3,10,6
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB",16-06-2026 12:00,26.699557,77.898881,PM2.5,30,406,68
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB",16-06-2026 12:00,26.699557,77.898881,NO2,9,61,21
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB",16-06-2026 12:00,26.699557,77.898881,CO,20,34,27
India,TamilNadu,Chennai,"Velachery Res. Area, Chennai - CPCB",16-06-2026 12:00,13.0052189,80.2398125,PM10,60,112,89
India,TamilNadu,Coimbatore,"PSG College of Arts and Science, Coimbatore - TNPCB",16-06-2026 12:00,11.0328,77.0349,PM2.5,27,56,41
India,TamilNadu,Coimbatore,"PSG College of Arts and Science, Coimbatore - TNPCB",16-06-2026 12:00,11.0328,77.0349,NO2,10,11,10
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB",16-06-2026 12:00,10.942451,76.978996,NH3,1,1,1
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB",16-06-2026 12:00,10.942451,76.978996,SO2,23,25,24
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB",16-06-2026 12:00,10.942451,76.978996,CO,13,20,16
India,TamilNadu,Cuddalore,"Semmandalam, Cuddalore - TNPCB",16-06-2026 12:00,11.7637683,79.7499835,PM10,52,109,73
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",16-06-2026 12:00,13.4127,80.1081,PM10,71,157,121
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",16-06-2026 12:00,13.4127,80.1081,NO2,14,31,23
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",16-06-2026 12:00,13.4127,80.1081,SO2,1,89,36
